Kiểu tin nhắn,Nội dung tin nhắn,Mã người gửi,Tạo lúc
COMMENT,Xin giá đi sôp,10016109645128529,26/02/2024 15:42:23 - 26/02/2024 15:42:23
COMMENT,.,10043638972314633,02/05/2024 08:54:46 - 02/05/2024 08:54:46
INBOX,giá bao nhiêu vậy. Ngày uống mấy viên vậy. Chỉ cần uống liều tấn công là 1 hộp đúng ko b,23864754739863403,04/07/2024 22:48:39 - 06/07/2024 07:55:09
INBOX,1. Tv. E bị viêm âm đao. E tái lại nhiu. Mà Vàng sữa. Xin giá,23891596577155573,26/05/2024 20:42:12 - 17/06/2024 20:42:37
INBOX,"Từ vấn. Giá mấy họp. Họp uống mấy ngày. Bị viêm ; khi hư ra có mùi; kinh dài ngày; ít. 42 tuổi; 1 cháu, viêm lâu rồi; tái phát; khi hu; có ít máu lẫn; ko đâu bụng dưới. Đã uống lavendo. Rồi. Xong hết. Bị viêm các. Các. nan. nan. Đang tìm hiểu ni vuông new. nan. Em rồi. Xem rồi. Gửi liệu trình tham khảo. Lấy 6 họp. 99 hùng vương; tâm kỳ; quảng nam. 0973241134",23900246369573813,21/01/2024 20:17:50 - 21/07/2024 12:34:31
INBOX,Xin giá ạ. Xin giá ạ. Dạ. E xin giá ạ. Viêm lộ tuyến cổ tử cung ạ. E cấp độ 2 ạ. E chưa đt ở đâu cả ạ. Cũng lâu rồi ạ. Dạ k ạ. Nó chỉ ra ít hơi dính quần tí và ướt màu trắng đục thôi ạ. Dạ giờ mà đt thì cần dùng những gì ạ,23913978631551306,14/03/2024 15:00:13 - 06/05/2024 21:21:11
COMMENT,Xin giá ạ. Dạ viên uống có tắc dụng như thế nào ạ,23955977277334602,17/04/2024 15:52:40 - 17/04/2024 19:59:59
INBOX,"Tv. Vlt thì ntn ạ. 38t, sinh 3 cháu rùi ạ. Bị cũng lâu roài ạ. Mấy năm roài. TRC có dùng thuốc đông i dạng viên , xịt và nước rửa. Dùng tg cũng khá lâu Nhưng ko thấy tiến triển gì. Hiện tại vẫn có khi hư, ko chảy máu,ko đau bụng. nan. nan. Chỉ cần uống thui chứ ạ. Sau bao lâu thì khỏi ạ. Giá như nào vậy ạ. Khoảng bao lâu thì có thể trị khỏi ạ",23960423743606049,10/06/2024 21:34:22 - 10/08/2024 13:55:53
INBOX,thuốc  điều  trị  viêm  cổ  từ  cumg vậy  anh,23962668870013134,11/08/2024 12:46:28 - 11/08/2024 12:46:28
INBOX,Lấy cho e 1rửa 1uống. Địa chỉ cũ ạ. Lấy mình 1 uống. Địa chỉ cũ ạ,23990004397309796,02/03/2024 20:38:41 - 06/05/2024 18:40:01
INBOX,tư vấn đi ạ,24015377984744425,05/02/2024 18:30:01 - 05/02/2024 18:30:01
INBOX,Mua ở dau. Làm sao để mua. Mua thuốc gì để đặc a. nan. Bi viêm âm đạo. Có a. Bi đau bụng. Lâu lâu bi một lần. Bi tái đi tái lại Hoài. Có đi khám. Nhưng kg sao. Về may thằng là bi viêm trò lại. Có thuốc đặc trong viêm kg. Có thể gửi mẫu thuôc do cho e đi mua được không. May thằng rồi không đặc thuốc. Không bi cái đó. Chi bi đau bụng thôi. Mua ở đâu vậy bác sĩ. Dạ cam ơn bác sĩ nhiều ạ. Da cam ơn a. nan,24016399767950950,01/06/2024 10:42:26 - 01/06/2024 10:57:04
INBOX,.. Khi hư bị hôi,24034605339488764,19/01/2024 17:47:14 - 19/01/2024 17:48:43
INBOX,Nữ vương giảm giá hả chi. Em uống  thấy đỡ  chi chưng  nào mới giảm giá chi. Ơ  ngoài  em mua có 190 thôi  công  ty ban  205 cao quá chi ơi. Bao nhiêu 1 hop. Bao nhiêu 1 hộp chi,24038226235790882,14/03/2024 11:12:18 - 23/06/2024 13:16:32
INBOX,xin giá,24058757237044983,21/05/2024 02:28:32 - 21/05/2024 02:28:32
INBOX,.,24071635432435890,21/06/2024 20:42:45 - 21/06/2024 20:42:45
INBOX,Bạn cung cấp dịch vụ gì?. alo,24077144321931952,14/03/2024 19:13:42 - 14/06/2024 09:40:49
INBOX,xin giá ạ,24085177501097552,12/05/2024 10:33:51 - 12/05/2024 10:33:51
INBOX,Bị lâu rồi. Xin gia,24092453513733810,01/01/2024 19:31:15 - 01/01/2024 19:31:25
INBOX,vien uống có tri đc ngứa phần phụ k. tv ạ,24139474679021749,10/04/2024 04:52:24 - 13/04/2024 20:44:04
INBOX,xin  giá,24143510885292597,09/02/2024 01:09:46 - 09/02/2024 01:09:46
INBOX,Bn 1 hop a. Minh bi viem lộ tuyen ạ,24148882471369520,02/05/2024 16:22:26 - 02/05/2024 16:29:02
INBOX,Xin giá,24165087733136171,12/06/2024 10:09:23 - 12/06/2024 10:09:23
COMMENT,bao nhiêu. lên đây bảo,24181483424833229,05/01/2024 20:16:46 - 05/01/2024 21:45:46
COMMENT,Ib,24184199104559469,06/05/2024 11:42:22 - 06/05/2024 11:42:22
COMMENT,".. Dạ. .. Xin giá. Cho em 1 hộp viên uống 
Và 1 gel rửa. Viên uống có tác dụng gì c. 0898905888
Vũ Huệ sn 58 tổ 15 phường Mường Thanh TP Điện biên",24186005897713746,21/01/2024 13:11:40 - 15/02/2024 16:40:54
INBOX,Xin giá,24223961817187208,14/03/2024 21:29:39 - 14/03/2024 21:29:39
INBOX,Chị ơi. Chị ơi em uống nữ vương khỏi ngứa rồi em muốn đặt thêm thuốc ạ. Chị gửi về cho em 9 hộp chị nhé. Vâng chị. Vâng ạ. Vâng em cảm ơn chị ạ. Vâng chị. Chị ơi em nhận đc thuốc rồi đủ 10hộp chị ạ nhà thuốc còn tặng cho em 1 lọ xịt mũi em cảm ơn ạ,24226891743568317,25/01/2024 07:36:37 - 26/01/2024 17:11:12
INBOX,Nhiêu một sp,24234641126184614,06/01/2024 14:22:57 - 06/01/2024 14:22:57
INBOX,.. Alo. Mình mới đốt viêm lộ tuyến ctc. Bên ban có tv giúp mình có sd dc sp gì cho nhanh hồi phục ko. Vì khi mình đốt xong bs ko cho thuốc uống. Mình đốt dc 1 tuần rồi. Ko,24236782302637147,05/01/2024 07:35:20 - 26/02/2024 13:23:38
INBOX,ib,24251443437804436,18/01/2024 03:32:38 - 18/01/2024 03:32:38
INBOX,tôi muốn đặt hàng. E bị viêm lo tuyến điện rộng ạ. e muốn đặt hàng,24283949824554024,07/04/2024 14:33:13 - 14/06/2024 13:49:22
INBOX,"E xin giá ạ. nan. Vậy ạ?. E bị hách nich. Mới lấy lại dk nên cũng k nhớ ạ. C tư vấn lại giúp e với. Liệu trình tn ạ.. Có khí hư,  thi thoảng ngứa,  k đau bụng dưới ạ.. Nt giúp ư thôi ạ.. Có dùng 1 đợt thôi ạ. Dạ vâng. Liệu trình của e thì tn ạ?",24291640357150818,15/07/2024 11:47:01 - 18/07/2024 07:55:06
INBOX,1 hộp uống bao lâu vậy,24294423573490268,15/02/2024 13:29:26 - 15/02/2024 13:29:26
INBOX,Xin giá bn tiền 1 liệu trình. Xin giá,24325575003757023,17/03/2024 15:18:45 - 18/03/2024 13:05:14
INBOX,xin giá ạ. có đảm bảo hàng chính hãng ko ạ. tv ạ,24336516772614261,23/07/2024 16:12:13 - 11/08/2024 20:14:48
INBOX,giá bao nhiêu,24353765090889615,08/05/2024 04:56:51 - 08/05/2024 04:56:51
INBOX,"toi can tu van ak. Toi can tu van ve san pham.ben nha thuoc. Bi khi hu co mau vang va hoi chi. Cung lau di kham thi bac si bao bi viem lộ tuyen tu cung ak. Di kham bac si bao dot ma con suy ngi k bt co nen dot k. Vay san pham ben chi la ji uong hay dat vag chi. Dang thuoc uong vien ha chi. Minh uong theo lieu trinh hay sao vay chi. Thuoc nay uong nhieu co anh uong ji den suc khoe k vay. Vay lieu tri hop mot thang la bao nhieu vay chi. Vay la bay gio e phai uong 1thang 9hop het 1,845,000d   dung k vay. Ja vay benh e uong nay co the dieu tri dut diem k vay ma neu het thi chi phi no co cao lam k vay chi. Ja vay neu e dung het thhang roi thi lam sao e mua tiep dc chi. nan. Vay 6hop la bao nhieu vay chi",24373925828917836,03/01/2024 17:55:47 - 12/03/2024 19:29:40
COMMENT,Xin gia,24377025735278547,03/01/2024 16:18:19 - 03/01/2024 16:18:19
COMMENT,Ib giá,24382783094703134,02/01/2024 10:14:07 - 02/01/2024 10:14:07
COMMENT,.,24385088191135280,18/01/2024 22:01:51 - 18/01/2024 22:01:51
INBOX,E không biết độ mấy nhưng e bị ra huyết trắng có lúc màu trắng có lúc màu hơi đục có mùi hôi. Mỗi lần có kinh đau bụng dưới nhiều lắm ra huyết cục bầm. Uống trinh nữ hoàng cung mà thấy không có gì nên không uống nữa,24388039224173878,02/01/2024 12:25:28 - 02/01/2024 14:40:35
COMMENT,..,24388845560729273,29/02/2024 14:04:57 - 29/02/2024 14:04:57
INBOX,"hi. Cấp độ 2 chii. Vừa rồi em đi khám bác sĩ có đốt điện,. Mà thấy kéo dài 20 mới hết dịch. Vậy có cách nào để dứt điểm mà phải ko diệt tuyến ko chị. Vậy phương pháp nội khoa mình điều trị thgian bao lâu, và có tái phát lại ko. Khi mình ngưng dùng. Nhưng sau 3-4 tháng mình có dùng nữa ko. Vậy dùng liều tấn công sang năm sau mình dùng lại phải ko chị. Khi dùng thì sẽ có triệu chứng gì ko. Em bị viêm lộ tuyến thỉnh thoảng còn ngứa nữa thì uống có hết ko chi. nan. Cho mình hỏi là mình vừa đốt lộ tuyến cổ tử cung xong đc 1 tháng thì dùng đc sp nữ vương new không. Mua ngoài đ.c ko chị hay phải mua trên kênh hệ thống chị. Bn hộp vậy chị. Mua 6h thì đc tặng gì chị",24389373847344908,11/01/2024 04:46:05 - 13/03/2024 08:43:22
INBOX,"xin giá ạ. Mình bị ngứa quanh mép. Khí hư thì ra ít. Vùng kín mik bị khô. Khi quan hệ vk rất khô và đau rát ạ. Bình thường thì ko có ạ nhưng gần ts ngày có kinh thì có ít ạ. Em chưa đi khám nên ko biết ạ. Bị viêm lô tuyết biểu hiện như thế nào ạ. Em sinh mổ đc 3 bé rồi. Dạ ko ạ. Chỉ khi quan hệ vk em khô nên mới bị rát đau thôi ạ,xong hai hôm thì hết đau thôi ạ. Dạ. Có ạ. Mik uống bao lâu thì có tác dụng ạ. Dạ. Để em tham khảo suy nghĩ rồi tl ạ. Dạ. Em xem rồi TL sau ạ. E cảm ơn. Vâng ạ",24392611400387563,03/01/2024 11:15:12 - 03/01/2024 11:30:44
INBOX,xin giá ạ. tư vấn giúp em về nữ vương new ạ. E bị viêm lộ tuyến diện rộng ạ. Chưa điều trị. E mới uống thuốc thôi ạ. Hơn 1 tháng ạ. Khi hư ra nhiều nhưng k bị hôi tanh. nan. nan. nan. Jo e uống nữ vương mà k uống thuốc có được k ạ. Xin giá ạ. Sử dụng bao lâu ạ. Có cần phải sử dụng thuốc tây k ạ. K hôi ạ. nan. Vậy e đặt 1 hộp uống và 1 gel rửa ạ. Nguyễn Thị Nga daktaley mangyang gia Lai. 0973757076,24394140926897889,17/01/2024 15:42:27 - 29/01/2024 15:15:10
COMMENT,Xin giá,24398597313118112,25/03/2024 16:41:04 - 25/03/2024 16:41:04
INBOX,Xin giá ạ. E không ra khí hư chỉ cảm giác khô rát. Đi khám bs bảo viêm cổ tử cung. Cổ tử cung to. 37 rồi. Hơn 1 tháng,24399425026367897,01/02/2024 08:16:24 - 01/02/2024 13:47:27
INBOX,hih,24408034725511806,22/04/2024 00:11:18 - 22/04/2024 00:11:18
INBOX,Bạn ơi. Mình cần tư vấn. Mình bị huyết trắng tái đi tái lại. Hôm trước mình xét nghiệm ung thư cổ tử cung. Kết quả. Nhiễm nhóm 12. Mình có đặc thuốc. Giờ thấy huyết trắng. Tái đi tái lại k hết. K ạ. Chỉ trắng. Dính đáy quần thôi ạ. Thỉnh thoảng có ngứa. Nhưng mình vệ sinh thì hết. Chỉ có huyết trắng. Ướt đáy quần ít thôi ah. K ak. E đặc thuốc thì hết. Xong nữa tháng. Lại tái lại. Mình đã dùng nhiều loại. Mà k dứt điểm. nan,24418433171134135,03/01/2024 20:00:55 - 03/01/2024 20:32:55
INBOX,Xin giá,24421797907467016,04/01/2024 19:54:30 - 04/01/2024 19:54:30
INBOX,Xin giá sản phẩm ạ. Mình bị viên cổ tử cung. Viên âm đạo. Ngứa bên ngoài. Có dùng đc ko ạ. Có đau bụng dưới. Có khí hư. Ngứa nhiều,24422033527445415,08/01/2024 16:40:37 - 09/01/2024 00:12:52
INBOX,.. Em bị huyết trắng chi. Lơn cơn như sữa chua. Cũng lâu rồi chị. Dạ chưa. Chị tu van cho em với. Ngày em uống mấy viên chị. Có bớt giá cho em được ko. Mình uống khoảng bao lâu mình nghĩ,24437081009269004,09/05/2024 13:20:20 - 09/05/2024 14:35:41
INBOX,Giúp tôi tu vấn ạ,24437339832576740,07/01/2024 13:40:57 - 07/01/2024 13:40:57
INBOX,mua 1 hop dửa ve sinh. xin giá,24439903865654763,01/01/2024 20:49:09 - 01/01/2024 20:49:56
INBOX,Cho xin giá,24441762425438858,08/01/2024 15:10:39 - 08/01/2024 15:10:39
INBOX,6 hộp là bao nhiêu,24442288935362527,14/03/2024 16:08:03 - 14/03/2024 16:08:03
COMMENT,Xin giá,24443088702003514,07/01/2024 20:51:41 - 07/01/2024 20:51:41
INBOX,Cần tư vấn. Bị viêm lộ tuyến. Khí hư. Bị cũng lâu rồi. Hay đau bụng dưới,24448569631456883,26/01/2024 21:12:32 - 27/01/2024 20:38:06
INBOX,bao nhiêu vậy bạn. xin giá,24451417407837407,22/04/2024 13:27:27 - 22/04/2024 13:27:43
INBOX,giá bán bao nhiêu vậy,24452984494349400,21/01/2024 20:15:19 - 21/01/2024 20:15:19
COMMENT,E dùng 2 tháng mới đau ít khi hư sau 2 tháng vẫn như cũ. 2 tháng rồi lúc mình dùng bị ừ xơ bé thậm chí ko nhìn rõ giờ to 23mm với luc đau ít khi hư giờ lại như lúc đầu hoi minh mới ngừng 2 hom. Mk dung 2 tháng lúc đầu ít khi hư ít mui giờ lại như lúc đầu ừ xơ nhỏ xíu ko rõ giờ to mình mới ngừng 2 hom,24455862634059534,07/05/2024 18:33:08 - 08/05/2024 16:04:29
INBOX,E dang tieu buot voi đau rat,24456998450612167,01/01/2024 20:45:29 - 01/01/2024 20:45:29
INBOX,bn ạ,24460736840240417,21/01/2024 06:40:14 - 21/01/2024 06:40:14
INBOX,viêm lộ tuyên câp độ 3 có khỏi đk k ak. dùng khoảng p.nh lâu thì khỏi ak. tại vì e đag định đi đốt ak. dạ p.nh 1 liệu trình z bác sĩ và 1 liệu trình dùng đk trong p.nh lâu ak,24463905906589142,11/01/2024 20:33:55 - 12/01/2024 09:02:16
INBOX,Cho mình xin giá ạ. Cho em hỏi em bị nang naboth cổ tử cung dùng thuốc này được ko ạ,24467597912887997,20/01/2024 07:09:37 - 20/01/2024 19:38:40
COMMENT,Xin giá,24469464636031022,11/01/2024 12:30:12 - 11/01/2024 12:30:12
COMMENT,.,24479620141686323,12/01/2024 05:37:23 - 12/01/2024 05:37:23
INBOX,Hi,24482565134720229,10/01/2024 12:44:23 - 10/01/2024 12:44:23
